fp1	fp2	f7	f8	f3	f4	t3	t4	c3	c4	t5	t6	p3	p4	o1	o2	fz	cz	pz	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.027509	-0.090092	-0.037967	0.099528	-0.018363	-0.074184	0.020189	0.000000	-0.038039	0.000000	0.000000	0.030503	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.027087	0.000000	0.038332	0.090438	0.018363	-0.099028	-0.020284	0.074258	0.038039	0.000000	0.000000	0.000000	-0.030200	
0.000000	0.000000	0.000000	0.078310	0.000000	0.086792	0.000000	-0.040358	0.000000	-0.034830	0.000000	0.038779	0.071530	-0.028339	0.099565	0.019091	0.091214	0.000000	0.000000	
0.000000	0.000000	0.078310	0.000000	0.086333	0.000000	-0.040618	0.000000	-0.035006	0.000000	0.038671	0.000000	-0.028285	-0.071872	-0.019091	-0.099068	0.090896	0.000000	0.000000	
0.000000	0.000000	0.000000	0.086333	0.000000	0.099944	0.000000	0.000000	0.000000	0.000000	0.071268	0.027773	-0.082610	-0.066940	-0.074465	-0.019579	0.000000	0.000000	0.000000	
0.000000	0.000000	0.086792	0.000000	0.099944	0.000000	0.000000	0.000000	0.000000	0.000000	0.027838	-0.071641	0.067029	0.082017	0.019493	0.074536	0.000000	0.000000	0.000000	
0.000000	-0.027087	0.000000	-0.040618	0.000000	0.000000	0.000000	0.099944	0.000000	0.099944	0.000000	0.040406	0.000000	0.000000	0.000000	0.026772	0.000000	0.099944	0.000000	
-0.027509	0.000000	-0.040358	0.000000	0.000000	0.000000	0.099944	0.000000	-0.099944	0.000000	0.040092	0.000000	0.000000	0.000000	0.027153	0.000000	0.000000	0.099944	0.000000	
-0.090092	0.038332	0.000000	-0.035006	0.000000	0.000000	0.000000	-0.099944	0.000000	0.099944	0.000000	0.034825	0.000000	0.000000	-0.090371	0.038615	0.000000	0.000000	0.000000	
-0.037967	0.090438	-0.034830	0.000000	0.000000	0.000000	0.099944	0.000000	0.099944	0.000000	0.034649	0.000000	0.000000	0.000000	-0.038263	0.090687	0.000000	0.000000	0.000000	
0.099528	0.018363	0.000000	0.038671	0.071268	0.027838	0.000000	0.040092	0.000000	0.034649	0.000000	-0.078868	0.000000	-0.087197	0.000000	0.000000	0.000000	0.000000	-0.091200	
-0.018363	-0.099028	0.038779	0.000000	0.027773	-0.071641	0.040406	0.000000	0.034825	0.000000	-0.078868	0.000000	-0.086703	0.000000	0.000000	0.000000	0.000000	0.000000	-0.090878	
-0.074184	-0.020284	0.071530	-0.028285	-0.082610	0.067029	0.000000	0.000000	0.000000	0.000000	0.000000	-0.086703	0.000000	-0.099944	0.000000	0.000000	0.000000	0.000000	0.000000	
0.020189	0.074258	-0.028339	-0.071872	-0.066940	0.082017	0.000000	0.000000	0.000000	0.000000	-0.087197	0.000000	-0.099944	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.038039	0.099565	-0.019091	-0.074465	0.019493	0.000000	0.027153	-0.090371	-0.038263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030269	0.000000	0.000000	
-0.038039	0.000000	0.019091	-0.099068	-0.019579	0.074536	0.026772	0.000000	0.038615	0.090687	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.029964	0.000000	0.000000	
0.000000	0.000000	0.091214	0.090896	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030269	-0.029964	0.000000	0.000000	-0.099944	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.099944	0.099944	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.030503	-0.030200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.091200	-0.090878	0.000000	0.000000	0.000000	0.000000	-0.099944	0.000000	0.000000	
